"Lane","Sample","Index"
1,"P14_M1","SI-GA-C7"
2,"P14_M1","SI-GA-C7"
3,"P14_M1","SI-GA-C7"
4,"P14_M1","SI-GA-C7"
1,"P14_M2","SI-GA-C8"
2,"P14_M2","SI-GA-C8"
3,"P14_M2","SI-GA-C8"
4,"P14_M2","SI-GA-C8"
1,"P14_M3","SI-GA-C9"
2,"P14_M3","SI-GA-C9"
3,"P14_M3","SI-GA-C9"
4,"P14_M3","SI-GA-C9"
1,"P14_F1","SI-GA-C10"
2,"P14_F1","SI-GA-C10"
3,"P14_F1","SI-GA-C10"
4,"P14_F1","SI-GA-C10"
1,"P14_F2","SI-GA-C11"
2,"P14_F2","SI-GA-C11"
3,"P14_F2","SI-GA-C11"
4,"P14_F2","SI-GA-C11"
1,"P14_F3","SI-GA-C12"
2,"P14_F3","SI-GA-C12"
3,"P14_F3","SI-GA-C12"
4,"P14_F3","SI-GA-C12"
